total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
1768000,0.9679746180772781,1116,22100,1.7831640243530273,0.010365561582148075,-20.07,966.51
1776000,0.8470869213342667,1117,22200,1.784827470779419,0.027759557589888573,-20.05,961.58
1784000,0.9436549805104733,1117,22300,1.783331274986267,0.008045749738812447,-20.08,958.15
1792000,0.9015107974410057,1117,22400,1.7768065929412842,0.022385630756616592,-20.12,958.03
1800000,0.9708848726004362,1118,22500,1.7847179174423218,0.005240076221525669,-20.21,946.08
1808000,0.8193475902080536,1118,22600,1.7750575542449951,0.03039151057600975,-20.25,941.59
1816000,0.8644022196531296,1119,22700,1.7791063785552979,0.03002682887017727,-20.29,937.96
1824000,0.9340352937579155,1119,22800,1.7823022603988647,0.013243663124740124,-20.3,937.76
1832000,0.8366356939077377,1119,22900,1.7823625802993774,0.03125191107392311,-20.26,935.94
1840000,0.6520594358444214,1120,23000,1.7817809581756592,0.024845261126756668,-20.24,941.51
1848000,0.9379336498677731,1120,23100,1.7814157009124756,0.0055764541029930115,-20.17,947.1
1856000,0.9145168215036392,1121,23200,1.7833505868911743,0.017488820478320122,-20.17,945.54
1864000,0.848924070596695,1121,23300,1.7818243503570557,0.010129207745194435,-20.13,957.9
1872000,0.7234861552715302,1121,23400,1.783093810081482,0.0864587277173996,-20.14,956.95
1880000,0.9138924032449722,1121,23500,1.7810777425765991,0.022414255887269974,-20.08,968.48
1888000,0.8284875899553299,1122,23600,1.7850654125213623,0.018068011850118637,-20.06,969.71
1896000,0.8737420588731766,1122,23700,1.7827575206756592,0.024939384311437607,-20.01,979.53
1904000,0.9526565298438072,1123,23800,1.7691625356674194,0.015694061294198036,-19.97,982.1
1912000,0.7791689932346344,1123,23900,1.7733125686645508,0.022388290613889694,-20.0,977.12
1920000,0.7943369746208191,1123,24000,1.7813713550567627,0.04212077707052231,-20.0,978.19
1928000,0.7072785198688507,1123,24100,1.7786372900009155,0.04095306247472763,-20.01,979.87
1936000,0.9230659902095795,1124,24200,1.7714440822601318,0.018116241320967674,-20.04,969.53
1944000,0.9649375826120377,1124,24300,1.778233289718628,0.008246424607932568,-20.11,962.04
1952000,0.9486485682427883,1124,24400,1.7818866968154907,0.013075361959636211,-20.12,964.33
1960000,0.8132907152175903,1125,24500,1.781714677810669,0.03645128756761551,-20.09,966.82
1968000,0.9098156243562698,1125,24600,1.7802997827529907,0.01142044272273779,-20.12,957.78
1976000,0.9242545440793037,1125,24700,1.7810468673706055,0.010784752666950226,-20.13,957.59
1984000,0.8601959496736526,1126,24800,1.7706413269042969,0.04164521396160126,-20.11,953.0
1992000,0.9449525028467178,1126,24900,1.776586890220642,0.006966026034206152,-20.13,949.95
2000000,0.8972138464450836,1126,25000,1.7794030904769897,0.015429514460265636,-20.12,951.42
2008000,0.7751333117485046,1115,25100,1.7827479839324951,0.03149612620472908,-20.15,959.79
2016000,0.9607769064605236,1115,25200,1.7809699773788452,0.014230879954993725,-20.17,958.33
2024000,0.9650249034166336,1115,25300,1.779934287071228,0.0059930793941020966,-20.11,967.8
2032000,0.9521834328770638,1116,25400,1.777374505996704,0.010038570500910282,-20.09,969.82
2040000,0.790845587849617,1116,25500,1.7827427387237549,0.03067927435040474,-20.05,977.97
2048000,0.9429678097367287,1116,25600,1.7829368114471436,0.016435900703072548,-20.01,980.78
2056000,0.9329944923520088,1117,25700,1.7735354900360107,0.007938065566122532,-20.0,984.57
2064000,0.9265343174338341,1117,25800,1.7790262699127197,0.01080247201025486,-19.98,990.78
2072000,0.8860763907432556,1117,25900,1.7779057025909424,0.014573132619261742,-19.97,993.18
2080000,0.9155346229672432,1118,26000,1.7829132080078125,0.031961917877197266,-19.97,989.61
2088000,0.8588193506002426,1118,26100,1.7801847457885742,0.02278704196214676,-19.95,995.05
2096000,0.9351560771465302,1118,26200,1.7805602550506592,0.026488255709409714,-19.96,997.06
2104000,0.9575204215943813,1119,26300,1.776829481124878,0.010485700331628323,-19.93,1000.83
2112000,0.9640780203044415,1119,26400,1.7802270650863647,0.013175169005990028,-19.87,999.79
2120000,0.811824768781662,1119,26500,1.7762895822525024,0.022105928510427475,-19.94,990.75
2128000,0.9056812077760696,1120,26600,1.7783950567245483,0.01013006828725338,-19.95,993.76
2136000,0.9721929896622896,1120,26700,1.7815046310424805,0.005280906334519386,-19.97,995.73
2144000,0.8354122638702393,1121,26800,1.782997488975525,0.01527094841003418,-20.01,985.92
2152000,0.8434494584798813,1121,26900,1.7802051305770874,0.04599514231085777,-20.06,983.73
2160000,0.9593640752136707,1121,27000,1.7826993465423584,0.012964623980224133,-19.98,980.95
