fps,serial_timesteps,explained_variance,value_loss,approxkl,policy_loss,policy_entropy,time_elapsed,clipfrac,total_timesteps,n_updates,ep_len_mean,ep_reward_mean
1022,128384,0.6355040669441223,0.030677661,0.0021098165,-0.0049874308,1.132892,1220.6426541805267,0.14257812,1027072,1003,2512.92,-8.7
920,128512,0.6565930843353271,0.031538855,0.0014270518,-0.0043953843,1.1237587,1221.6458888053894,0.12573242,1028096,1004,2509.8,-8.74
990,128640,0.40133827924728394,0.041086625,0.0027968374,-0.0055731684,1.1215692,1222.760169506073,0.17822266,1029120,1005,2509.8,-8.74
969,128768,0.6641762554645538,0.026812874,0.0027040534,-0.003712566,1.1237684,1223.7962203025818,0.22216797,1030144,1006,2511.16,-8.71
843,128896,0.621008425951004,0.03397015,0.0019708097,-0.0038537073,1.0847172,1224.854572057724,0.15136719,1031168,1007,2511.41,-8.71
861,129024,0.6774968802928925,0.020764954,0.002142941,-0.0025483554,1.1544157,1226.070416212082,0.1628418,1032192,1008,2511.41,-8.71
1092,129152,0.7590166330337524,0.023261502,0.0030218246,-0.0038152544,1.1473193,1227.2608752250671,0.2133789,1033216,1009,2516.68,-8.73
1032,129280,0.7078329026699066,0.020832086,0.0030427913,-0.005533819,1.2053539,1228.2004623413086,0.21948242,1034240,1010,2516.68,-8.73
1008,129408,0.6989456713199615,0.027360313,0.00243505,-0.0027054548,1.1865473,1229.1935141086578,0.17822266,1035264,1011,2516.68,-8.73
853,129536,0.7044209539890289,0.027708191,0.001472633,-0.0036406512,1.2294286,1230.2109699249268,0.1184082,1036288,1012,2516.68,-8.73
943,129664,0.5220717191696167,0.038623363,0.0020283337,-0.0062263384,1.2318791,1231.4121308326721,0.14233398,1037312,1013,2519.07,-8.7
896,129792,0.5965331792831421,0.03439386,0.0016167792,-0.0052313856,1.1836827,1232.4994325637817,0.12866211,1038336,1014,2519.07,-8.7
912,129920,0.5687833428382874,0.030121902,0.0013136615,-0.0051422385,1.2420652,1233.6426095962524,0.09741211,1039360,1015,2537.04,-8.62
951,130048,0.6591483652591705,0.029332247,0.0022172297,-0.0056283954,1.222118,1234.7663996219635,0.1550293,1040384,1016,2537.04,-8.62
1018,130176,0.6274361610412598,0.037222505,0.0016664048,-0.0054218885,1.2065852,1235.8451764583588,0.14819336,1041408,1017,2537.04,-8.62
933,130304,0.48864972591400146,0.031016402,0.0017964137,-0.0047603482,1.2617453,1236.8518161773682,0.122558594,1042432,1018,2537.04,-8.62
922,130432,0.6907821297645569,0.024767945,0.0013335935,-0.005052644,1.2223262,1237.9507055282593,0.10961914,1043456,1019,2537.04,-8.62
917,130560,0.49320685863494873,0.039260045,0.0024299107,-0.0058919424,1.2594012,1239.0621342658997,0.19628906,1044480,1020,2537.04,-8.62
981,130688,0.7844544500112534,0.020148546,0.0017480397,-0.0053362474,1.2342038,1240.1808032989502,0.14550781,1045504,1021,2537.04,-8.62
880,130816,0.6777155995368958,0.027874341,0.0015656621,-0.0053491634,1.2549727,1241.226107120514,0.14208984,1046528,1022,2537.04,-8.62
872,130944,0.7002874910831451,0.030036865,0.002534519,-0.0060585984,1.2016567,1242.3921208381653,0.20019531,1047552,1023,2537.04,-8.62
958,131072,0.643222838640213,0.028838454,0.0016335122,-0.0036133348,1.2015581,1243.5675535202026,0.13745117,1048576,1024,2554.64,-8.49
1024,131200,0.6420991122722626,0.034325067,0.0021769481,-0.0053543546,1.2235911,1244.6375555992126,0.1574707,1049600,1025,2554.64,-8.49
984,131328,0.6391040980815887,0.028838418,0.0023210477,-0.0033466825,1.2033817,1245.6391861438751,0.15234375,1050624,1026,2554.64,-8.49
1013,131456,0.6280133426189423,0.03612279,0.0021184024,-0.0038679708,1.2003344,1246.680689573288,0.1694336,1051648,1027,2554.64,-8.49
961,131584,0.6922585666179657,0.028322114,0.0025990342,-0.0057079266,1.1823865,1247.6932113170624,0.19189453,1052672,1028,2560.64,-8.46
